clusterID,clusterName,clusterAbrv
X0,Neurogenesis-I,Neuro.I
X1,Synaptic-transmission-I,Syn.Trans.I
X2,Neuronal-activity-synaptic-transmission-I,Neuro.act.Syn.Trans.I
X3,Myelination,Myelination
X4,Astrocytes,Astrocytes
X5,Glutamatergic-synaptic-transmission-I,Glut.Syn.Trans.I
X6,Glutamatergic-synaptic-transmission-II,Glut.Syn.Trans.II
X7,Glial-development,Glial.dev
X8,Glutamatergic-synaptic-transmission-III,Glut.Syn.Trans.III
X9,Neurogenesis-II,Neuro.II
X10,Microglia,Microglia
X11,GABAergic-synaptic-transmission,GABA.Syn.Trans
X12,Neurovasculature,Neuro.vasc
X13,Neuronal-activity-synaptic-transmission-II,Neuro.act.Syn.Trans.II
X14,Neuroendocrine-activity,Neuro.endo
X15,Neuronal-activity-synaptic-transmission-III,Neuro.act.Syn.Trans.III
X16,Glutamatergic-synaptic-transmission-IV,Glut.Syn.Trans.IV
X17,Synaptic-transmission-II,Syn.Trans.II
